Label,Sentence,cleaned_text,tokenized_text,processed_text
fear,"नहीं, मैं नहीं जानता, मैं वास्तव में नहीं जानता",नह म नह जनत म वसतव म नह जनत,नह म नह जनत म वसतव म नह जनत,नह म नह जनत म वसतव म नह जनत
neutral,ठीक है!,ठक ह,ठक ह,ठक ह
neutral,"ठीक है, ठीक है...",ठक ह ठक ह,ठक ह ठक ह,ठक ह ठक ह
neutral,"हाँ, निश्चित है!",ह नशचत ह,ह नशचत ह,ह नशचत ह
neutral,"Hey, मोन.",Hey मन,Hey मन,Hey मन
neutral,Hey-hey-hey. आप कुछ सुनना चाहते हैं कि शून्य है.,Heyheyhey आप कछ सनन चहत ह क शनय ह,Heyheyhey आप कछ सनन चहत ह क शनय ह,Heyheyhey आप कछ सनन चहत ह क शनय ह
joy,मैं कभी करता हूँ।,म कभ करत ह,म कभ करत ह,म कभ करत ह
sadness,क्रिस कहते हैं कि वे बार बंद कर रहे हैं।,करस कहत ह क व बर बद कर रह ह,करस कहत ह क व बर बद कर रह ह,करस कहत ह क व बर बद कर रह ह
surprise,कदापि नहीं!,कदप नह,कदप नह,कदप नह
neutral,"हाँ, लगता है कि वे इसे किसी तरह का कॉफी जगह में बदल रहे हैं।",ह लगत ह क व इस कस तरह क कफ जगह म बदल रह ह,ह लगत ह क व इस कस तरह क कफ जगह म बदल रह ह,ह लगत ह क व इस कस तरह क कफ जगह म बदल रह ह
disgust,बस कॉफी! अब हम कहाँ बाहर hang-out करने जा रहे हैं?,बस कफ अब हम कह बहर hangout करन ज रह ह,बस कफ अब हम कह बहर hangout करन ज रह ह,बस कफ अब हम कह बहर hangout करन ज रह ह
sadness,मुझे मिला.,मझ मल,मझ मल,मझ मल
neutral,मैं एक बियर ले सकता हूँ।,म एक बयर ल सकत ह,म एक बयर ल सकत ह,म एक बयर ल सकत ह
neutral,"Hey, तुम एक कमरेmate चुने थे?",Hey तम एक कमरmate चन थ,Hey तम एक कमरmate चन थ,Hey तम एक कमरmate चन थ
joy,तुम धोखे में पड़ो!,तम धख म पड,तम धख म पड,तम धख म पड
neutral,यह इटली के आदमी है?,यह इटल क आदम ह,यह इटल क आदम ह,इटल क आदम ह
joy,"उम्-अम्, हाँ सही!",उमअम ह सह,उमअम ह सह,उमअम ह सह
surprise,"ओह भगवान्, ओह भगवान्! गरीब मोनिका!",ओह भगवन ओह भगवन गरब मनक,ओह भगवन ओह भगवन गरब मनक,ओह भगवन ओह भगवन गरब मनक
surprise,"क्या, क्या, क्या!",कय कय कय,कय कय कय,कय कय कय
surprise,क्या?,कय,कय,कय
neutral,इस कविता लिखने के समय वह उसके साथ थे।,इस कवत लखन क समय वह उसक सथ थ,इस कवत लखन क समय वह उसक सथ थ,इस कवत लखन क समय वह उसक सथ थ
neutral,"देखो, 'मेरा बर्तन इतना खाली है कि उसमें कुछ नहीं है।",दख मर बरतन इतन खल ह क उसम कछ नह ह,दख मर बरतन इतन खल ह क उसम कछ नह ह,दख मर बरतन इतन खल ह क उसम कछ नह ह
neutral,"अब जब मैंने तुमसे हाथ लगाया है तो तुम और भी खाली लग रहे हो। """,अब जब मन तमस हथ लगय ह त तम और भ खल लग रह ह ,अब जब मन तमस हथ लगय ह त तम और भ खल लग रह ह,अब जब मन तमस हथ लगय ह त तम भ खल लग रह ह
surprise,"वह समझता है कि मोनिका खाली है, वह खाली थाश है!",वह समझत ह क मनक खल ह वह खल थश ह,वह समझत ह क मनक खल ह वह खल थश ह,वह समझत ह क मनक खल ह वह खल थश ह
sadness,"ओह, पूरी तरह से. ओह, भगवान, ओह, वह भी बहुत खुश लग रही थी.",ओह पर तरह स ओह भगवन ओह वह भ बहत खश लग रह थ,ओह पर तरह स ओह भगवन ओह वह भ बहत खश लग रह थ,ओह पर तरह स ओह भगवन ओह वह भ बहत खश लग रह थ
neutral,किया गया.,कय गय,कय गय,कय गय
surprise,Hey!,Hey,Hey,Hey
joy,हाय!,हय,हय,हय
surprise,तुम यहाँ क्या कर रहे हो?,तम यह कय कर रह ह,तम यह कय कर रह ह,तम कय कर रह ह
neutral,"आह तुम्हें पता है, यह भवन मेरे कागज मार्ग पर है तो मैं...",आह तमह पत ह यह भवन मर कगज मरग पर ह त म,आह तमह पत ह यह भवन मर कगज मरग पर ह त म,आह तमह पत ह भवन मर कगज मरग पर ह त म
neutral,ओह।,ओह,ओह,ओह
neutral,हाय!,हय,हय,हय
neutral,यह कैसे हुआ?,यह कस हआ,यह कस हआ,कस हआ
joy,"ठीक है, महिला मैं बातचीत के साथ बहुत कठिन था, लेकिन आप जानते हैं ईश्वर की धन्यवाद मार्क मुझे प्रशिक्षण दिया था, क्योंकि एक बार मैं झरना रेखा के बारे में बात शुरू करने के लिए, वह सब खुश हो गया और चुप नहीं होगा।",ठक ह महल म बतचत क सथ बहत कठन थ लकन आप जनत ह ईशवर क धनयवद मरक मझ परशकषण दय थ कयक एक बर म झरन रख क बर म बत शर करन क लए वह सब खश ह गय और चप नह हग,ठक ह महल म बतचत क सथ बहत कठन थ लकन आप जनत ह ईशवर क धनयवद मरक मझ परशकषण दय थ कयक एक बर म झरन रख क बर म बत शर करन क लए वह सब खश ह गय और चप नह हग,ठक ह महल म बतचत क सथ बहत कठन थ लकन आप जनत ह ईशवर क धनयवद मरक मझ परशकषण दय थ कयक एक बर म झरन रख क बर म बत शर करन क लए वह सब खश ह गय चप नह हग
joy,मैं तुम पर गर्व करता हूँ।,म तम पर गरव करत ह,म तम पर गरव करत ह,म तम पर गरव करत ह
joy,मैं भी!,म भ,म भ,म भ
sadness,"सुनो, मैं ah हूँ, मुझे क्षमा है कि मैं इतना पागल और ईर्ष्या है और, यह सिर्फ है कि मैं तुम्हें बहुत पसंद है, तो...",सन म ah ह मझ कषम ह क म इतन पगल और ईरषय ह और यह सरफ ह क म तमह बहत पसद ह त,सन म ah ह मझ कषम ह क म इतन पगल और ईरषय ह और यह सरफ ह क म तमह बहत पसद ह त,सन म ah ह मझ कषम ह क म इतन पगल ईरषय ह सरफ ह क म तमह बहत पसद ह त
neutral,मैं जानता हूँ।,म जनत ह,म जनत ह,म जनत ह
neutral,हाँ.,ह,ह,ह
neutral,अमरी-कान,अमरकन,अमरकन,अमरकन
neutral,अमरी-कान,अमरकन,अमरकन,अमरकन
neutral,Ameri-can. Y'know यह एक है,American Yknow यह एक ह,American Yknow यह एक ह,American Yknow एक ह
surprise,सभी!,सभ,सभ,सभ
joy,अच्छा काम जो! अच्छी तरह से किया गया! शीर्ष स्तर!,अचछ कम ज अचछ तरह स कय गय शरष सतर,अचछ कम ज अचछ तरह स कय गय शरष सतर,अचछ कम ज अचछ तरह स कय गय शरष सतर
surprise,आप इसे पसंद किया? आप सचमुच इसे पसंद किया?,आप इस पसद कय आप सचमच इस पसद कय,आप इस पसद कय आप सचमच इस पसद कय,आप इस पसद कय आप सचमच इस पसद कय
joy,"ओह-हो-हो, हाँ!",ओहहह ह,ओहहह ह,ओहहह ह
neutral,निश्चित रूप से कौन सा भाग?,नशचत रप स कन स भग,नशचत रप स कन स भग,नशचत रप स कन स भग
neutral,पूरी बात! हम जा सकते हैं?,पर बत हम ज सकत ह,पर बत हम ज सकत ह,पर बत हम ज सकत ह
anger,"ओह-नहीं-नहीं, मुझे कुछ विशिष्टताएं बताओ।",ओहनहनह मझ कछ वशषटतए बतओ,ओहनहनह मझ कछ वशषटतए बतओ,ओहनहनह मझ कछ वशषटतए बतओ
joy,"मैं विशेषताओं को पसंद करता हूँ, विशेषताओं का सबसे अच्छा हिस्सा था!",म वशषतओ क पसद करत ह वशषतओ क सबस अचछ हसस थ,म वशषतओ क पसद करत ह वशषतओ क सबस अचछ हसस थ,म वशषतओ क पसद करत ह वशषतओ क सबस अचछ हसस थ
neutral,"अरे, क्या kangaroo के साथ दृश्य के बारे में? क्या-क्या तुम उस भाग को पसंद था?",अर कय kangaroo क सथ दशय क बर म कयकय तम उस भग क पसद थ,अर कय kangaroo क सथ दशय क बर म कयकय तम उस भग क पसद थ,अर कय kangaroo क सथ दशय क बर म कयकय तम उस भग क पसद थ
surprise,मैं प्रथम विश्वयुद्ध के एक महाकाव्य में एक kangaroo को देखकर आश्चर्य हुआ।,म परथम वशवयदध क एक महकवय म एक kangaroo क दखकर आशचरय हआ,म परथम वशवयदध क एक महकवय म एक kangaroo क दखकर आशचरय हआ,म परथम वशवयदध क एक महकवय म एक kangaroo क दखकर आशचरय हआ
anger,तुम सो गए!,तम स गए,तम स गए,तम स गए
anger,कोई kangaroo नहीं था!,कई kangaroo नह थ,कई kangaroo नह थ,कई kangaroo नह थ
anger,उन्होंने मेरे सुझावों में से कोई भी नहीं लिया।,उनहन मर सझव म स कई भ नह लय,उनहन मर सझव म स कई भ नह लय,उनहन मर सझव म स कई भ नह लय
neutral,यह आने वाले दोस्त के लिए है।,यह आन वल दसत क लए ह,यह आन वल दसत क लए ह,आन वल दसत क लए ह
neutral,मैं आप बाद में देख लूंगा।,म आप बद म दख लग,म आप बद म दख लग,म आप बद म दख लग
sadness,मत जाओ!,मत जओ,मत जओ,मत जओ
sadness,मुझे खेद है।,मझ खद ह,मझ खद ह,मझ खद ह
sadness,मुझे बहुत अफसोस है!,मझ बहत अफसस ह,मझ बहत अफसस ह,मझ बहत अफसस ह
surprise,देखो!,दख,दख,दख
anger,यह आदमी सो गया!,यह आदम स गय,यह आदम स गय,आदम स गय
anger,वह भी सो गया!,वह भ स गय,वह भ स गय,वह भ स गय
anger,उस पर पागल हो जाओ!,उस पर पगल ह जओ,उस पर पगल ह जओ,उस पर पगल ह जओ
anger,"या, एम्बुलेंस को बुलाएं।",य एमबलस क बलए,य एमबलस क बलए,य एमबलस क बलए
neutral,"ठीक है, देखो, मुझे लगता है कि हम रेचेल को बताना होगा कि उसने अपने डिザーट को बिगाड़ दिया है.",ठक ह दख मझ लगत ह क हम रचल क बतन हग क उसन अपन डザーट क बगड दय ह,ठक ह दख मझ लगत ह क हम रचल क बतन हग क उसन अपन डザーट क बगड दय ह,ठक ह दख मझ लगत ह क हम रचल क बतन हग क उसन अपन डザーट क बगड दय ह
anger,"क्या?! सभी के साथ क्या है? यह धन्यवाद है, नहीं... सत्य दिवस!",कय सभ क सथ कय ह यह धनयवद ह नह सतय दवस,कय सभ क सथ कय ह यह धनयवद ह नह सतय दवस,कय सभ क सथ कय ह धनयवद ह नह सतय दवस
neutral,"हाँ, और यह मेरे मरने की इच्छा है कि वह रिंग हो।",ह और यह मर मरन क इचछ ह क वह रग ह,ह और यह मर मरन क इचछ ह क वह रग ह,ह मर मरन क इचछ ह क वह रग ह
neutral,"देखो, अगर मैं उस रिंग के साथ दफन नहीं किया गया हूँ तो मेरी आत्मा हमेशा के लिए नीचे की दुनिया में भटकने जा रहा है",दख अगर म उस रग क सथ दफन नह कय गय ह त मर आतम हमश क लए नच क दनय म भटकन ज रह ह,दख अगर म उस रग क सथ दफन नह कय गय ह त मर आतम हमश क लए नच क दनय म भटकन ज रह ह,दख अगर म उस रग क सथ दफन नह कय गय ह त मर आतम हमश क लए नच क दनय म भटकन ज रह ह
neutral,"ठीक है, यह काफी शहद है!",ठक ह यह कफ शहद ह,ठक ह यह कफ शहद ह,ठक ह कफ शहद ह
neutral,मैं नहीं जानता. मुझे रिंग देखने दो.,म नह जनत मझ रग दखन द,म नह जनत मझ रग दखन द,म नह जनत मझ रग दखन द
joy,"महान! ठीक है, यहाँ।",महन ठक ह यह,महन ठक ह यह,महन ठक ह
neutral,ठीक है.,ठक ह,ठक ह,ठक ह
joy,धन्यवाद. धन्यवाद. धन्यवाद! और,धनयवद धनयवद धनयवद और,धनयवद धनयवद धनयवद और,धनयवद धनयवद धनयवद
neutral,तुम क्या कर रहे हो?,तम कय कर रह ह,तम कय कर रह ह,तम कय कर रह ह
neutral,"ओह, आप जानते हैं, आमतौर पर, एरोबिक्स पढ़ाने, बहुत ज्यादा पार्टी करने।",ओह आप जनत ह आमतर पर एरबकस पढन बहत जयद परट करन,ओह आप जनत ह आमतर पर एरबकस पढन बहत जयद परट करन,ओह आप जनत ह आमतर पर एरबकस पढन बहत जयद परट करन
neutral,"ओह, और यदि आप सोच रहे थे, उन नए जेम्स बॉंड पोस्टर पर मेरे पैर हैं।",ओह और यद आप सच रह थ उन नए जमस बड पसटर पर मर पर ह,ओह और यद आप सच रह थ उन नए जमस बड पसटर पर मर पर ह,ओह यद आप सच रह थ उन नए जमस बड पसटर पर मर पर ह
joy,क्या आप एक क्षण रुक सकते हैं? मेरे पास एक और कॉल है. मैं उसे प्यार करता हूँ.,कय आप एक कषण रक सकत ह मर पस एक और कल ह म उस पयर करत ह,कय आप एक कषण रक सकत ह मर पस एक और कल ह म उस पयर करत ह,कय आप एक कषण रक सकत ह मर पस एक कल ह म उस पयर करत ह
neutral,मैं वापस हूँ।,म वपस ह,म वपस ह,म वपस ह
neutral,"तो, हम एक साथ मिलेंगे या क्या?",त हम एक सथ मलग य कय,त हम एक सथ मलग य कय,त हम एक सथ मलग य कय
neutral,"उम्, बिल्कुल. उम्, कैसे कल दोपहर के बारे में? क्या आप जानते हैं उम्, सेंट्रल पेर्क ग्राम में, कहते हैं, पांच-ish?",उम बलकल उम कस कल दपहर क बर म कय आप जनत ह उम सटरल परक गरम म कहत ह पचish,उम बलकल उम कस कल दपहर क बर म कय आप जनत ह उम सटरल परक गरम म कहत ह पचish,उम बलकल उम कस कल दपहर क बर म कय आप जनत ह उम सटरल परक गरम म कहत ह पचish
neutral,"अच्छा है, तो मैं आप को देख लूंगा।",अचछ ह त म आप क दख लग,अचछ ह त म आप क दख लग,अचछ ह त म आप क दख लग
joy,ठीक है. ठीक है. एक फोन है अंततः भुगतान किया गया है.,ठक ह ठक ह एक फन ह अतत भगतन कय गय ह,ठक ह ठक ह एक फन ह अतत भगतन कय गय ह,ठक ह ठक ह एक फन ह अतत भगतन कय गय ह
neutral,"हालांकि आप एक अच्छा बॉब प्रभाव करते हैं, मैं सोच रहा हूँ जब वह तुम्हें कल देखता है, वह शायद यह समझने के लिए जा रहा है, ""हे, तुम बॉब नहीं हो.""",हलक आप एक अचछ बब परभव करत ह म सच रह ह जब वह तमह कल दखत ह वह शयद यह समझन क लए ज रह ह ह तम बब नह ह,हलक आप एक अचछ बब परभव करत ह म सच रह ह जब वह तमह कल दखत ह वह शयद यह समझन क लए ज रह ह ह तम बब नह ह,हलक आप एक अचछ बब परभव करत ह म सच रह ह जब वह तमह कल दखत ह वह शयद समझन क लए ज रह ह ह तम बब नह ह
neutral,मैं आशा करता हूं कि जब बोब प्रकट नहीं होगा तो वह अगले टेबल पर झिझकने वाले अजनबी के खुले हाथों में आराम की तलाश करेगा।,म आश करत ह क जब बब परकट नह हग त वह अगल टबल पर झझकन वल अजनब क खल हथ म आरम क तलश करग,म आश करत ह क जब बब परकट नह हग त वह अगल टबल पर झझकन वल अजनब क खल हथ म आरम क तलश करग,म आश करत ह क जब बब परकट नह हग त वह अगल टबल पर झझकन वल अजनब क खल हथ म आरम क तलश करग
disgust,ऐ मेरे ख़ुदा तू तो यक़ीनी बदकार है,ऐ मर खद त त यकन बदकर ह,ऐ मर खद त त यकन बदकर ह,ऐ मर खद त त यकन बदकर ह
anger,"ठीक है, शुद्ध बुराई, सींग और अकेले. मैंने यह किया है",ठक ह शदध बरई सग और अकल मन यह कय ह,ठक ह शदध बरई सग और अकल मन यह कय ह,ठक ह शदध बरई सग अकल मन कय ह
anger,कोई भी नहीं!,कई भ नह,कई भ नह,कई भ नह
anger,कोई बुकेट का सम्मान नहीं करता!,कई बकट क सममन नह करत,कई बकट क सममन नह करत,कई बकट क सममन नह करत
anger,आप नहीं मानेंगे जो लोग यहाँ डालते हैं!,आप नह मनग ज लग यह डलत ह,आप नह मनग ज लग यह डलत ह,आप नह मनग ज लग डलत ह
anger,देखो!,दख,दख,दख
anger,"ठीक है, क्या यह आप के लिए एक कूड़ादान की तरह लगता है?",ठक ह कय यह आप क लए एक कडदन क तरह लगत ह,ठक ह कय यह आप क लए एक कडदन क तरह लगत ह,ठक ह कय आप क लए एक कडदन क तरह लगत ह
neutral,नहीं।,नह,नह,नह
neutral,यह मेरी शादी है।,यह मर शद ह,यह मर शद ह,मर शद ह
anger,"ठीक है, आप जानते हैं क्या? हम वास्तव में देर कर रहे हैं! चलो चलो! चलो चलो! चलो! चलो!",ठक ह आप जनत ह कय हम वसतव म दर कर रह ह चल चल चल चल चल चल,ठक ह आप जनत ह कय हम वसतव म दर कर रह ह चल चल चल चल चल चल,ठक ह आप जनत ह कय हम वसतव म दर कर रह ह चल चल चल चल चल चल
neutral,ठीक है. आप करेंगे-आप इसे वीडियो पर देखेंगे जब हम वापस जाओगे.,ठक ह आप करगआप इस वडय पर दखग जब हम वपस जओग,ठक ह आप करगआप इस वडय पर दखग जब हम वपस जओग,ठक ह आप करगआप इस वडय पर दखग जब हम वपस जओग
joy,यहाँ तुम जाओ Phoebe! यहाँ तुम जाओ Phobo! Phewbedo! Phaybobo.,यह तम जओ Phoebe यह तम जओ Phobo Phewbedo Phaybobo,यह तम जओ Phoebe यह तम जओ Phobo Phewbedo Phaybobo,तम जओ Phoebe तम जओ Phobo Phewbedo Phaybobo
neutral,धन्यवाद।,धनयवद,धनयवद,धनयवद
joy,"ठीक है, चलो चलिए! बाय, फीब्स!",ठक ह चल चलए बय फबस,ठक ह चल चलए बय फबस,ठक ह चल चलए बय फबस
joy,"बाय, फीब्स!",बय फबस,बय फबस,बय फबस
joy,लंदन के बच्चे!,लदन क बचच,लदन क बचच,लदन क बचच
joy,"ओह, आप को एक अँगाड़ की जरूरत है? आप मुझे कुछ भी नहीं लाना है!",ओह आप क एक अगड क जररत ह आप मझ कछ भ नह लन ह,ओह आप क एक अगड क जररत ह आप मझ कछ भ नह लन ह,ओह आप क एक अगड क जररत ह आप मझ कछ भ नह लन ह
neutral,Hey!,Hey,Hey,Hey
joy,अरे! तो एस्टेले ने कल मेरे लिए ऑडिशनों की एक गुच्छा तैयार की और मैं जल्दी ही मेरी स्वास्थ्य बीमा वापस मिल जाएगा.,अर त एसटल न कल मर लए ऑडशन क एक गचछ तयर क और म जलद ह मर सवसथय बम वपस मल जएग,अर त एसटल न कल मर लए ऑडशन क एक गचछ तयर क और म जलद ह मर सवसथय बम वपस मल जएग,अर त एसटल न कल मर लए ऑडशन क एक गचछ तयर क म जलद ह मर सवसथय बम वपस मल जएग
disgust,"यह बहुत अच्छा है, लेकिन आप अभी शौचालय पर नहीं होना चाहिए?",यह बहत अचछ ह लकन आप अभ शचलय पर नह हन चहए,यह बहत अचछ ह लकन आप अभ शचलय पर नह हन चहए,बहत अचछ ह लकन आप अभ शचलय पर नह हन चहए
disgust,तुम्हें क्या हो गया है?,तमह कय ह गय ह,तमह कय ह गय ह,तमह कय ह गय ह
neutral,कुछ भी नहीं!,कछ भ नह,कछ भ नह,कछ भ नह
fear,"अच्छी तरह से, मैं-मैं अपने पेट में इस अंधापन दर्द था जब मैं पहले वजन उठा रहा था, तो मैं uh बाहर हो गया और uh, अब तक खड़े नहीं हो सका है.",अचछ तरह स मम अपन पट म इस अधपन दरद थ जब म पहल वजन उठ रह थ त म uh बहर ह गय और uh अब तक खड नह ह सक ह,अचछ तरह स मम अपन पट म इस अधपन दरद थ जब म पहल वजन उठ रह थ त म uh बहर ह गय और uh अब तक खड नह ह सक ह,अचछ तरह स मम अपन पट म इस अधपन दरद थ जब म पहल वजन उठ रह थ त म uh बहर ह गय uh अब तक खड नह ह सक ह
neutral,लेकिन मुझे लगता है कि यह कोई गंभीर बात नहीं है.,लकन मझ लगत ह क यह कई गभर बत नह ह,लकन मझ लगत ह क यह कई गभर बत नह ह,लकन मझ लगत ह क कई गभर बत नह ह
surprise,यह हर्निया की तरह लगता है. आपको-आप-आप डॉक्टर के पास जाना है!,यह हरनय क तरह लगत ह आपकआपआप डकटर क पस जन ह,यह हरनय क तरह लगत ह आपकआपआप डकटर क पस जन ह,हरनय क तरह लगत ह आपकआपआप डकटर क पस जन ह
fear,"नहीं। <s> क्या देखो, यदि मुझे किसी चीज़ के लिए डॉक्टर के पास जाना है तो यह मेरे पेट से बाहर टपकने वाली चीज़ के लिए होगा।",नह s कय दख यद मझ कस चज क लए डकटर क पस जन ह त यह मर पट स बहर टपकन वल चज क लए हग,नह s कय दख यद मझ कस चज क लए डकटर क पस जन ह त यह मर पट स बहर टपकन वल चज क लए हग,नह s कय दख यद मझ कस चज क लए डकटर क पस जन ह त मर पट स बहर टपकन वल चज क लए हग
disgust,यह एक हर्निया है।,यह एक हरनय ह,यह एक हरनय ह,एक हरनय ह
anger,मैं फिर से काम करने के लिए क्यों शुरू किया गया था? तुम 15 साल की धिक्कार!,म फर स कम करन क लए कय शर कय गय थ तम 15 सल क धककर,म फर स कम करन क लए कय शर कय गय थ तम 15 सल क धककर,म फर स कम करन क लए कय शर कय गय थ तम 15 सल क धककर
joy,मैं आपका स्थान पसंद करता हूँ! यह आदमी कहाँ से है?,म आपक सथन पसद करत ह यह आदम कह स ह,म आपक सथन पसद करत ह यह आदम कह स ह,म आपक सथन पसद करत ह आदम कह स ह
neutral,यह एक अठारहवीं सदी का कलकत्ता से भारतीय शिल्प है।,यह एक अठरहव सद क कलकतत स भरतय शलप ह,यह एक अठरहव सद क कलकतत स भरतय शलप ह,एक अठरहव सद क कलकतत स भरतय शलप ह
surprise,"अरे वा! तो, आप सिर्फ dinosaurs से अधिक हैं।",अर व त आप सरफ dinosaurs स अधक ह,अर व त आप सरफ dinosaurs स अधक ह,अर व त आप सरफ dinosaurs स अधक ह
neutral,बहुत अधिक।,बहत अधक,बहत अधक,बहत अधक
neutral,"अच्छी तरह से, अच्छी तरह से सार देने के लिए, हम खेल रहे हैं, आप युवा लग रहे हैं।",अचछ तरह स अचछ तरह स सर दन क लए हम खल रह ह आप यव लग रह ह,अचछ तरह स अचछ तरह स सर दन क लए हम खल रह ह आप यव लग रह ह,अचछ तरह स अचछ तरह स सर दन क लए हम खल रह ह आप यव लग रह ह
neutral,ठीक है,ठक ह,ठक ह,ठक ह
neutral,लेकिन यह पर्याप्त नहीं है. तो... तो... यहाँ मेरे फ्लैट का एक कुंजी है.,लकन यह परयपत नह ह त त यह मर फलट क एक कज ह,लकन यह परयपत नह ह त त यह मर फलट क एक कज ह,लकन परयपत नह ह त त मर फलट क एक कज ह
neutral,सचमुच।,सचमच,सचमच,सचमच
neutral,आप यह बहुत तेजी से नहीं लगता है।,आप यह बहत तज स नह लगत ह,आप यह बहत तज स नह लगत ह,आप बहत तज स नह लगत ह
anger,बाहर जाओ!,बहर जओ,बहर जओ,बहर जओ
neutral,"रोस, मैं एक मिनट के लिए आप से बात कर सकता हूँ?",रस म एक मनट क लए आप स बत कर सकत ह,रस म एक मनट क लए आप स बत कर सकत ह,रस म एक मनट क लए आप स बत कर सकत ह
neutral,"हाँ, कृपया! तो, क्या हो रहा है?",ह कपय त कय ह रह ह,ह कपय त कय ह रह ह,ह कपय त कय ह रह ह
sadness,"Uh, अच्छी तरह से... जोय और मैं विच्छेद किया.",Uh अचछ तरह स जय और म वचछद कय,Uh अचछ तरह स जय और म वचछद कय,Uh अचछ तरह स जय म वचछद कय
surprise,"ओह भगवान, क्या हुआ?",ओह भगवन कय हआ,ओह भगवन कय हआ,ओह भगवन कय हआ
sadness,"Joey एक महान आदमी है, लेकिन हम सिर्फ... इतना अलग है! मेरा मतलब है, आपके भाषण के दौरान वह होमो erectus पर हँसते रहे!",Joey एक महन आदम ह लकन हम सरफ इतन अलग ह मर मतलब ह आपक भषण क दरन वह हम erectus पर हसत रह,Joey एक महन आदम ह लकन हम सरफ इतन अलग ह मर मतलब ह आपक भषण क दरन वह हम erectus पर हसत रह,Joey एक महन आदम ह लकन हम सरफ इतन अलग ह मर मतलब ह आपक भषण क दरन वह हम erectus पर हसत रह
anger,मैं जानता था कि वह वह है!,म जनत थ क वह वह ह,म जनत थ क वह वह ह,म जनत थ क वह वह ह
sadness,"वैसे भी मैं बस, uh, मुझे लगता है कि यह सर्वोत्तम के लिए है।",वस भ म बस uh मझ लगत ह क यह सरवततम क लए ह,वस भ म बस uh मझ लगत ह क यह सरवततम क लए ह,वस भ म बस uh मझ लगत ह क सरवततम क लए ह
neutral,"अरे, तुम ठीक हो?",अर तम ठक ह,अर तम ठक ह,अर तम ठक ह
sadness,मुझे लगता है।,मझ लगत ह,मझ लगत ह,मझ लगत ह
